,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
TRANSLATORS_CREDITS,,"Apple0726,",Apple0726,"KinlloX, Alan FEVM, Jessefjxm",RobotFK,"Limenoalik, Bullseye",Apple0726,,Mysterious Translator,yuayumia,Menti,
TRANSLATORS_DISCORD,,"Apple0726, <ZHxPro>Mataeragon, Plexus Du Menton ",Apple0726,"KinlloX, Alan FEVM","RobotFK, Juni","Limenoalik, modo chancho/TEMP",Apple0726,Agecher,,yuayumia,Menti,"cheffplayer, SORRY SIR NO ANIME"
NEW_GAME,New game,Nouvelle partie,Nuova partita,开启新的文明,Neues Spiel,Nueva partida,새 게임,Nytt spel,Új játék,ニューゲーム,Nieuw spel,Новая игра
LOAD_GAME,Load game,Charger une partie,Caricare una partita,回到你的文明,Spiel laden,Cargar partida,불러오기,Ladda spel,Folytatás,ロード,Spel laden,Загрузить игру
MONEY,Money,Argent,Soldi,资金,Geld,Dinero,돈,Pengar,Pénz,資金,Geld,Деньги
MINERALS,Minerals,Minéraux,Minerali,水晶,Mineralien,Minerales,광물,Mineraler,Ásványok,鉱物,Mineralen,Минералы
STONE,Stone,Pierre,Pietra,石材,Stein,Piedra,돌,Sten,Kő,石,Steen,Камень
ENERGY,Energy,Énergie,Energia,能量,Energie,Energía,에너지,Energi,Energia,電力,Energie,Энергия
SP,Science points,Points de science,Punti di scienza,科技,Forschungspunkte,Puntos de ciencia,과학 포인트,Vetenskapspoäng,Tudománpontok,研究値,Onderzoekspunten,Очки науки
MUTE,(Un)mute,(Dés)activer la musique,(Dis)attivare la musica,静音,Stummschalten,(Des)Activar la musica,음악 켜기/끄기,(O)dämpa,Hang be/ki,ミュート,(Ont)dempen,(Не)беззвучный
BACK,Back,Retour,Indietro,返回,Zurück,Atrás,뒤로,Tillbaka,Vissza,戻る,Terug,Назад
SHOP,Shop,Boutique,Negozio,商城,Shop,Tienda,상점,Butik,Bolt,ショップ,Winkel,Магазин
INVENTORY,Inventory,Inventaire,Inventario,库存,Inventar,Inventario,소지품,Förråd,Inventár,インベントリ,Inventaris,Инвентарь
CONSTRUCT,Construct,Construire,Costruire,建造,Bauen,Construir,건설하기,Konstruera,Épít,建築,Bouwen,Построить
BUY,Buy,Acheter,Comprare,购买,Kaufen,Comprar,구입하기,Köp,Megvesz,購入,Kopen,Купить
VIEW_STAR_SYSTEM,View star system,Voir système stellaire,Visualizzare sistema stellare,遥望星空,Sternsystem betrachten,Ver sistema estelar,항성계 보기,Granska stjärnsystem,Csillagrendszer megtekintése,星系図を見る,Zonnestelsel bekijken,Показать звездную систему
MINE,Mine,Miner,Minare,挖矿,Abbauen,Minar,,Gräva,,採掘,Delven,Добывать
START_MINE,Click a tile to mine,Cliquez une tuile pour miner,Clicca una tile per scavare,选择一片空地来挖矿！,Ein Feld anklicken um Abzubauen,Dale click a una casilla para minar,,Klicka en ruta för att gräva,Kattints egy négyzetre a bányászáshoz,タイルをクリックして採掘,Klik op een veld om te delven,Кликните на плитку чтобы добывать
